model,num_clients,accuracy_mean,accuracy_std,accuracy_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,loss_mean,loss_std,loss_count
BART-large,2,0.8393,0.1126,132,0.8506,0.1235,132,0.8656,0.111,132,0.8566,0.1138,132,0.246,0.1963,132
BART-large,3,0.8566,0.1107,176,0.8709,0.1185,176,0.8838,0.1022,176,0.8755,0.1098,176,0.2471,0.1975,176
BART-large,4,0.8689,0.1115,220,0.8858,0.1185,220,0.9002,0.096,220,0.8888,0.1127,220,0.2312,0.1729,220
BART-large,5,0.8726,0.0986,264,0.8965,0.0998,264,0.9084,0.0808,264,0.8981,0.0985,264,0.2619,0.1838,264
BART-large,6,0.8687,0.1036,308,0.8996,0.1023,308,0.909,0.0859,308,0.9011,0.1002,308,0.2875,0.211,308
BART-large,7,0.8848,0.1031,352,0.9086,0.1106,352,0.9166,0.0969,352,0.9119,0.103,352,0.2371,0.1574,352
BART-large,8,0.8717,0.0903,396,0.9021,0.0956,396,0.9109,0.0813,396,0.906,0.0899,396,0.3075,0.1878,396
BART-large,9,0.8726,0.0895,440,0.906,0.1053,440,0.9125,0.098,440,0.9105,0.0955,440,0.3149,0.2034,440
BART-large,10,0.8742,0.0916,484,0.9093,0.091,484,0.9167,0.0789,484,0.9127,0.0863,484,0.3068,0.1909,484
DistilBART,2,0.8241,0.1462,132,0.6693,0.246,132,0.7744,0.2375,132,0.6631,0.2414,132,0.2343,0.2648,132
DistilBART,3,0.8447,0.1418,176,0.7019,0.229,176,0.7978,0.2186,176,0.697,0.2092,176,0.253,0.2891,176
DistilBART,4,0.8546,0.1449,220,0.692,0.2316,220,0.8096,0.2265,220,0.6694,0.2181,220,0.2586,0.2757,220
DistilBART,5,0.8521,0.1301,264,0.7079,0.2082,264,0.8341,0.2102,264,0.6726,0.1915,264,0.3238,0.3057,264
DistilBART,6,0.8416,0.1374,308,0.6506,0.2473,308,0.8024,0.2482,308,0.6083,0.2253,308,0.3896,0.3439,308
DistilBART,7,0.8525,0.1359,352,0.5475,0.2476,352,0.7675,0.2728,352,0.521,0.2289,352,0.3674,0.3032,352
DistilBART,8,0.84,0.1196,396,0.6166,0.2567,396,0.7572,0.2536,396,0.5888,0.2395,396,0.4471,0.3479,396
DistilBART,9,0.8446,0.1173,440,0.6667,0.2377,440,0.8059,0.2354,440,0.624,0.2188,440,0.4583,0.3922,440
DistilBART,10,0.74,0.1442,55,0.3778,0.2535,55,0.5976,0.2907,55,0.3518,0.2349,55,0.9586,0.4669,55
