round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,source_file,model
1,-1,1,train,1.7537089931143468,0.4680145840238647,0.4624846741551128,0.4680145840238647,0.4594502806952492,training_metrics_centralized_20250806_132751.csv,DistilBART
1,-1,-1,validation,1.0704357624053955,0.6646045072912063,0.652947123588533,0.6646045072912063,0.6516330025167079,training_metrics_centralized_20250806_132751.csv,DistilBART
2,-1,2,train,0.965148127897784,0.6985968401281626,0.6925776277218226,0.6985968401281626,0.6921032585282813,training_metrics_centralized_20250806_132751.csv,DistilBART
2,-1,-1,validation,0.9332238920164614,0.7096774193548387,0.70173158060533,0.7096774193548387,0.7013058240989813,training_metrics_centralized_20250806_132751.csv,DistilBART
3,-1,3,train,0.7681464114236274,0.755496630206607,0.7550060811074426,0.755496630206607,0.752639714769067,training_metrics_centralized_20250806_132751.csv,DistilBART
3,-1,-1,validation,0.8933172265640312,0.7180733539549271,0.7189612766694325,0.7180733539549271,0.711482952719823,training_metrics_centralized_20250806_132751.csv,DistilBART
4,-1,4,train,0.6161708922895468,0.8074245939675174,0.8086042635572264,0.8074245939675174,0.8054764477425518,training_metrics_centralized_20250806_132751.csv,DistilBART
4,-1,-1,validation,0.9237395237881176,0.7202828104286345,0.7280150389247529,0.7202828104286345,0.7192975088223091,training_metrics_centralized_20250806_132751.csv,DistilBART
5,-1,5,train,0.5015415160031496,0.8426693183073694,0.8440642188570834,0.8426693183073694,0.8421890891379588,training_metrics_centralized_20250806_132751.csv,DistilBART
5,-1,-1,validation,0.9319655480185792,0.7300044189129474,0.7414102684158759,0.7300044189129474,0.729351986016798,training_metrics_centralized_20250806_132751.csv,DistilBART
6,-1,6,train,0.3936089840947976,0.8800132582035134,0.8838152478625958,0.8800132582035134,0.8806307515892038,training_metrics_centralized_20250806_132751.csv,DistilBART
6,-1,-1,validation,0.9658503994747154,0.7255855059655325,0.7376014821570079,0.7255855059655325,0.72678059554882,training_metrics_centralized_20250806_132751.csv,DistilBART
7,-1,7,train,0.3168723094947603,0.905203844879019,0.9080958262682304,0.905203844879019,0.9056415653408312,training_metrics_centralized_20250806_132751.csv,DistilBART
7,-1,-1,validation,1.030951830905668,0.724259832081308,0.7376754716383049,0.724259832081308,0.726282383577527,training_metrics_centralized_20250806_132751.csv,DistilBART
8,-1,8,train,0.2498527641299957,0.927411335764004,0.9314441901929512,0.927411335764004,0.9283960275501522,training_metrics_centralized_20250806_132751.csv,DistilBART
8,-1,-1,validation,1.0923633855132406,0.7357490057445868,0.7453929107617543,0.7357490057445868,0.7373405403435536,training_metrics_centralized_20250806_132751.csv,DistilBART
